R3E SHARED MEMORY MAP
Generated from r3e_header.h
================================================================================
OFFSET: 0x03DC (00988) | TYPE: r3e_int32       | SIZE: 4 | position
OFFSET: 0x03E0 (00992) | TYPE: r3e_int32       | SIZE: 4 | position_class
OFFSET: 0x03E4 (00996) | TYPE: r3e_finish_status | SIZE: 4 | finish_status
OFFSET: 0x03E8 (01000) | TYPE: r3e_int32       | SIZE: 4 | cut_track_warnings
OFFSET: 0x03EC (01004) | TYPE: r3e_float32     | SIZE: 4 | penalties.drive_through
OFFSET: 0x03F0 (01008) | TYPE: r3e_float32     | SIZE: 4 | penalties.stop_and_go
OFFSET: 0x03F4 (01012) | TYPE: r3e_float32     | SIZE: 4 | penalties.pit_stop
OFFSET: 0x03F8 (01016) | TYPE: r3e_float32     | SIZE: 4 | penalties.time_deduction
OFFSET: 0x03FC (01020) | TYPE: r3e_float32     | SIZE: 4 | penalties.slow_down
OFFSET: 0x0400 (01024) | TYPE: r3e_int32       | SIZE: 4 | num_penalties
OFFSET: 0x0404 (01028) | TYPE: r3e_int32       | SIZE: 4 | completed_laps
OFFSET: 0x0408 (01032) | TYPE: r3e_int32       | SIZE: 4 | current_lap_valid
OFFSET: 0x040C (01036) | TYPE: r3e_int32       | SIZE: 4 | track_sector
OFFSET: 0x0410 (01040) | TYPE: r3e_float32     | SIZE: 4 | lap_distance
OFFSET: 0x0414 (01044) | TYPE: r3e_float32     | SIZE: 4 | lap_distance_fraction
